id,title,type,age,description,address,city,state,zip_code,latitude,longitude,sale_price,rent_price,area,rooms,bath_rooms,image_links,owner_id
38,consectetuer,Rank,46,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,15 Bonner Drive,Latrobe,PA,15650,21.298700,-157.698500,10215588.14,678.11,9626.19,8,5,,105
39,pede lobortis,Ronstring,76,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",1 Mifflin Avenue,Redwood,VA,24146,30.403600,-97.752600,13497928.39,5849.80,7465.58,10,4,,87
40,a ipsum integer,Quo Lux,49,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",27243 Maple Wood Crossing,Humansville,MO,65674,26.134000,-81.795300,19846285.86,1829.15,1685.42,7,3,,209
41,porttitor lacus,Prodder,22,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",87 Lakewood Gardens Road,Santa Fe,NM,87509,33.388700,-111.842800,29850887.91,3654.14,2591.21,9,4,,209
234,quam turpis adipiscing,Flowdesk,50,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",27 Rowland Way,Sedona,AZ,86351,36.746400,-119.639700,5929514.00,2783.01,1302.82,6,2,,84
44,ut tellus nulla,Mat Lam Tam,50,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,57 Dorton Way,Midway,AL,36053,40.018500,-76.297600,24338948.00,5484.10,5555.66,5,5,,173
47,mauris viverra,Sonair,31,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",782 Grim Circle,Tracy,CA,95376,37.680800,-97.155800,27300153.09,4180.35,190.58,10,4,,227
48,ac consequat,Mat Lam Tam,45,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",61631 Sachtjen Junction,Albany,GA,31705,41.811900,-87.687300,24206620.91,2828.33,1264.94,9,3,,255
50,in faucibus orci,Toughjoyfax,79,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",902 Stephen Hill,Ray,MI,48096,40.505100,-80.115500,7963686.00,3655.57,6859.09,9,3,,183
51,malesuada in imperdiet,Home Ing,29,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",882 Chive Court,Bedford,TX,76095,45.024200,-93.302000,24014468.01,1003.86,6404.31,9,2,,33
52,tellus nulla,Tresom,95,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",03834 Fordem Pass,Solon Springs,WI,54873,41.939900,-87.652800,16601400.52,3045.64,7600.73,5,5,,31
53,venenatis,Sonair,48,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",45676 Graceland Crossing,Niceville,FL,32578,29.622300,-95.260000,5586583.70,3133.06,5210.01,6,5,,290
54,tellus,Y-find,23,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",4 Meadow Ridge Drive,Petrolia,PA,16050,32.889100,-117.100500,13319508.92,5865.23,9363.52,10,3,,289
55,pellentesque quisque,Lotstring,20,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,6 Parkside Junction,Cottage Hills,IL,62018,35.260000,-80.804200,15230098.85,6521.90,8019.95,6,3,,229
57,pulvinar nulla,Pannier,57,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",6 Old Gate Point,Crowville,LA,71230,36.139800,-96.029700,6437116.00,5504.20,7584.13,10,5,,100
58,lectus in,Opela,80,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",44 Shopko Pass,Arabi,GA,31712,30.403600,-97.752600,19172813.52,6253.34,2626.71,10,5,,260
59,convallis,Voltsillam,96,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",64 Roxbury Plaza,Shoshoni,WY,82649,41.763800,-72.673000,27355800.76,6946.05,1729.21,9,4,,290
60,in,Aerified,98,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",9 Northview Trail,Chinook,WA,98614,37.256800,-121.889600,23339099.97,5602.27,8606.71,7,2,,252
62,eu,It,65,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",51878 Bashford Alley,New York,NY,10020,34.833700,-92.328900,26621344.70,4561.51,9387.74,5,3,,18
67,quam,Temp,67,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",78 Warrior Pass,San Diego,CA,92196,33.381300,-86.704600,4210855.00,6248.62,9702.07,8,3,,73
68,tristique in tempus,Zontrax,57,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,0513 Rigney Lane,Amityville,NY,11701,39.262700,-94.697000,5887043.00,4800.29,1539.68,10,3,,146
69,ultrices aliquet,Matsoft,79,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.",59109 Thompson Circle,Huntsville,AL,35824,35.133400,-90.004600,7280942.14,7889.08,9619.85,6,5,,242
70,proin at turpis,Bitchip,38,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",29653 Stoughton Street,Luna Pier,MI,48157,41.093800,-85.070700,15886479.03,2568.88,8980.64,10,3,,65
71,turpis donec,Opela,48,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",398 Tennessee Court,Mora,MN,55051,39.738800,-104.408300,10809965.82,4240.46,7024.50,6,3,,57
72,sit amet nulla,Hatity,76,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,4398 Merry Road,North Little Rock,AR,72116,38.894100,-77.025100,1379996.00,2448.95,2882.65,7,5,,95
73,sagittis dui vel,Zamit,42,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",0 Lakeland Parkway,Vallecito,CA,95251,39.803200,-121.867300,12253529.91,2812.48,9866.30,7,5,,250
74,turpis elementum,Ventosanzap,85,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",46 Lotheville Terrace,Guide Rock,NE,68942,35.044300,-106.672900,10559604.61,5640.48,1854.30,8,4,,58
75,integer ac leo,Transcof,32,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,5100 Merry Drive,Pie Town,NM,87827,47.066200,-122.113200,18683800.45,1702.39,4523.19,9,5,,90
76,eu felis,Subin,48,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",23 Kensington Street,Gracemont,OK,73042,42.469400,-70.972800,14429820.04,7798.90,6103.24,10,4,,172
77,ultrices posuere cubilia,Bamity,37,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",2208 4th Avenue,Carrollton,GA,30112,26.262600,-81.807100,18153559.40,1852.13,902.21,10,5,,20
78,mauris enim,Ventosanzap,32,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",011 Manley Center,Monticello,GA,31064,38.230600,-85.790500,10845525.19,5827.66,5543.64,5,4,,107
79,etiam justo etiam,Flowdesk,99,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",3354 John Wall Circle,Casa Grande,AZ,85230,39.166800,-84.538200,19365513.59,4701.90,8290.18,6,2,,117
297,cum,Aerified,96,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",65925 Banding Parkway,Roscoe,MT,59071,41.401900,-75.637600,21395363.86,7964.93,1603.47,8,2,,273
84,dapibus nulla suscipit,Tin,41,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",89564 Moland Center,Tchula,MS,39169,40.434400,-80.024800,22795088.31,4041.32,2195.06,9,3,,222
85,convallis nulla,Bamity,62,Sed ante. Vivamus tortor. Duis mattis egestas metus.,00300 Buena Vista Pass,Fort Pierre,SD,57532,39.738800,-104.408300,19567578.48,4432.93,9730.43,8,2,,266
88,eros,Konklux,43,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",75256 Leroy Junction,Todd,PA,16685,29.022700,-81.172200,3278610.00,691.32,1212.34,7,3,,101
89,in,Daltfresh,73,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",32 Oak Plaza,Round Rock,TX,78665,29.540700,-98.552100,29211541.93,1285.67,6952.16,7,3,,216
90,quis,Solarbreeze,86,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",72014 Manley Park,Memphis,TN,38184,38.719200,-77.107300,1306729.00,7804.58,9039.74,8,4,,60
91,quisque erat,Lotstring,46,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",32 David Hill,Honokaa,HI,96727,25.559300,-80.348300,28903243.70,6989.24,3813.87,10,5,,23
92,nulla,Trippledex,94,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",1 Morrow Street,London Mills,IL,61544,36.032000,-83.802100,28654454.62,7160.00,4065.54,6,2,,88
93,rhoncus dui,Regrant,21,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",1870 Golf View Terrace,Holden,LA,70744,26.377100,-81.733400,5485222.00,4832.25,8894.84,7,2,,144
94,lacinia erat vestibulum,Holdlamis,38,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,482 Petterle Park,Stanville,KY,41659,29.754300,-95.360900,6352626.43,793.09,3911.50,9,5,,218
95,maecenas leo,Biodex,96,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",8422 Fieldstone Plaza,Pittsburgh,PA,15212,42.352800,-71.187500,13556899.09,992.52,8681.26,6,3,,145
96,orci,Viva,67,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",4805 Larry Court,Easton,MN,56025,32.892600,-83.745500,28246704.23,1821.08,4944.79,8,5,,3
97,adipiscing,Home Ing,31,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",66 Walton Street,Carol Stream,IL,60199,40.668100,-111.908300,21739992.34,2725.76,8240.81,7,3,,160
98,nunc proin,Bytecard,90,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",20 Milwaukee Road,New Hyde Park,NY,11044,31.663100,-106.140100,13714510.59,3078.79,9602.56,5,4,,153
298,diam erat,Wrapsafe,32,Sed ante. Vivamus tortor. Duis mattis egestas metus.,48 Schiller Street,Orchard Hill,GA,30266,35.551400,-97.407500,6384504.76,3629.28,3545.33,8,5,,283
101,nulla dapibus,Otcom,24,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",34 Burning Wood Junction,Flagstaff,AZ,86004,30.216600,-97.850800,11767194.27,6301.03,8465.52,8,5,,157
